transaction_id,issuer_id,mcc,amount,country_pair,channel,baseline_fraud_score,fulgor_pseudo_label,label_bias_delta
TXN_00857541,ISSUER_038,subscription,134.56,domestic,wallet,0.0362656287351526,1.0,0.9637343712648472
TXN_00312286,ISSUER_031,subscription,21.02,cross_border,card_present,0.0387484919795096,1.0,0.9612515080204904
TXN_00738273,ISSUER_037,marketplace,42.01,cross_border,wallet,0.0432444817931814,1.0,0.9567555182068186
TXN_00851474,ISSUER_026,electronics,30.79,domestic,card_present,0.0464944980802331,1.0,0.9535055019197668
TXN_00886627,ISSUER_017,electronics,91.81,cross_border,card_present,0.0474865275254725,1.0,0.9525134724745274
TXN_00855588,ISSUER_034,grocery,59.14,domestic,card_present,0.048005328551724,1.0,0.951994671448276
TXN_00555332,ISSUER_036,subscription,76.73,cross_border,card_present,0.0481211418043875,1.0,0.9518788581956124
TXN_00082592,ISSUER_010,subscription,98.95,cross_border,card_present,0.0487933275651588,1.0,0.9512066724348412
TXN_00367805,ISSUER_044,luxury,114.77,high_risk_cross_border,card_present,0.0491844881916026,1.0,0.9508155118083974
TXN_00632168,ISSUER_022,grocery,59.75,domestic,card_present,0.0495385575839511,1.0,0.9504614424160488
TXN_00274999,ISSUER_005,marketplace,10.4,cross_border,card_present,0.0498312780562061,1.0,0.950168721943794
TXN_00855614,ISSUER_038,grocery,116.53,domestic,card_not_present,0.0499124944622031,1.0,0.9500875055377968
TXN_00533989,ISSUER_012,subscription,44.83,cross_border,card_present,0.05044183431419,1.0,0.94955816568581
TXN_00392255,ISSUER_026,digital_goods,61.46,domestic,card_present,0.0504561422849624,1.0,0.9495438577150376
TXN_00038877,ISSUER_011,travel,7.81,high_risk_cross_border,card_present,0.0507399036380444,1.0,0.9492600963619556
TXN_00316878,ISSUER_011,travel,104.91,domestic,card_not_present,0.051124861428391,1.0,0.948875138571609
TXN_00339723,ISSUER_013,marketplace,35.29,cross_border,card_present,0.0516347789726517,1.0,0.9483652210273482
TXN_00358356,ISSUER_038,grocery,70.81,cross_border,card_present,0.0523248167333389,1.0,0.947675183266661
TXN_00568147,ISSUER_031,luxury,54.87,domestic,wallet,0.0527084365634248,1.0,0.9472915634365752
TXN_00496822,ISSUER_045,grocery,6.65,domestic,card_present,0.0527198864763026,1.0,0.9472801135236972
